°3°,"This is me. 
I’m sorry but you’re not my type. https://t.co/Qfic0pma1T",126130
룰루루룰루,thank you 💕 https://t.co/ESmo67cUek,111737
💜내삶의이유💜🐨🐹🐱🐿🐥🐯🐰💜,thank you 💕 https://t.co/ESmo67cUek,111736
monorm,thank you 💕 https://t.co/ESmo67cUek,111735
cj,thank you 💕 https://t.co/ESmo67cUek,111731
Ꮆ卂卄乙卂...,Daniel Caesar did that while causally sippin tea. It’s confirmed he is the GOAT! https://t.co/1PeBb0G4xv,103339
@mayrasons4,An Oregon high school football coach was able to disarm a student with a shotgun preventing a possible massacre by… https://t.co/XgjmJzSBcJ,96528
Amber Jane,An Oregon high school football coach was able to disarm a student with a shotgun preventing a possible massacre by… https://t.co/XgjmJzSBcJ,96522
Raisin Bran Scott,"Zodiac signs as my understanding of zodiac signs

Aquarium - wet

Pieces - two fish?

Air - good 

Taurus - 0% APR… https://t.co/lj2rwGXj8i",83353
𝑩𝒊𝒕𝒊 👑,"My ancestors and my parents suffered for my generation to be free today, to work, to take the bus, to play football… https://t.co/dFxY9SkTYJ",81362
